Producto,Descripción,Partida / Lote,Certificado,Observaciones
AC0050-4K240527,"TEE TOT 1/2"" SCH 40 WPB A234",,,
AC0050-94040527,"CASQUETE 1/2"" SCH 40 WPB A234",,,
AC0050BCI1R305,"BRIDA 0,5"" BCI  #150 RF A105",,,
AC0050BCI2R305,"BRIDA 0,5"" BCI #300 RF A105",,,
AC0050BCI3R305,"BRIDA 0,5"" BCI #600 RF A105",,,
AC0050BCI4J305,"BRIDA 0,50"" BCI #900/1500 RTJ A105",,,
AC0050BRO1R322,"BRIDA ROSCADA 0,5"" BRO #150 RF GALV",,,
AC0050BSO1R305,"BRIDA 0,5"" BSO #150 RF A105",,,
AC0050BSW1R505,"BRIDA 0,5"" BSW #150 RF SCH80 A105",,,
AC0050BSW1R516,"BRIDA 0,5"" BSW #150 RF SCH80 316",,,
AC0050BSW1R705,"BRIDA 0,5"" BSW #150 RF SCH160 A105",,,
AC0050BSW2R505,"BRIDA 0,5"" BSW #300 RF SCH80 A105",,,
AC0050BSW2R705,"BRIDA 0,5"" BSW #300 RF SCH160 A105",,,
AC0050BSW3R505,"BRIDA 0,5"" BSW #600 RF SCH80 A105",,,
AC0050BSW3R705,"BRIDA 0,5"" BSW #600 RF SCH160 A105",,,
AC0050BWN3R505,"BRIDA 0,5"" BWN #600 RF SCH80 A105",,,
AC0075-23C40220,"CAÑO CC 3/4"" SCH 40 CONDUIT + CUPLA 6,4M",,,
AC0075-23S70106,"CAÑO S/C 3/4"" SCH 160 ASTM A106 GR B",,,
AC0075-23S80106,"CAÑO S/C 3/4"" SCH 80 ASTM A106 GR B",,,
AC0075-4I490527,"CODO LR 90° 3/4"" SCH 40 WPB A234",,,
AC0075-4I890527,"CODO LR 90° 3/4"" SCH 80 WPB A234",,,
AC0075-4K240527,"TEE TOT 3/4"" SCH 40 WPB A234",,,
AC0075-4K280527,"TEE TOT 3/4"" SCH 80 WPB A234",,,
AC0075-94040527,"CASQUETE 3/4"" SCH 40 WPB A234",,,
AC0075BCI1R305,"BRIDA 0,75"" BCI #150 RF A105",,,
AC0075BCI4R305,"BRIDA 0,75"" BCI #900/1500 RF A105",,,
AC0075BRO1R322,"BRIDA ROSCADA 0,75"" BRO #150 RF GALV",,,
AC0075BSO1R305,"BRIDA 0,75"" BSO #150 RF A105",,,
AC0075BSW1R305,"BRIDA 0,75"" BSW #150 RF SCH40 A105",,,
AC0075BSW1R505,"BRIDA 0,75"" BSW #150 RF SCH80 A105",,,
AC0075BSW1R536,"BRIDA 0,75"" BSW #150 RF SCH80 316",,,
AC0075BSW1R705,"BRIDA 0,75"" BSW #150 RF SCH160 A105",,,
AC0075BSW2J505,"BRIDA 0,75"" BSW #300 RTJ SCH80 A105",,,
AC0075BSW2R316,"BRIDA 0,75"" BSW #300 RF SCH80 316",,,
AC0075BSW2R505,"BRIDA 0,75"" BSW #300 RF SCH80 A105",,,
AC0075BSW2R705,"BRIDA 0,75"" BSW #300 RF SCH160 A105",,,
AC0075BSW2R82F5,"BRIDA 0,75"" BWN #300 RF SCH80 A182 F5",,,
AC0075BSW3R505,"BRIDA 0,75"" BSW #600 RF SCH80 A105",,,
AC0075BSW3R705,"BRIDA 0,75"" BSW #600 RF SCH160 A105",,,
AC0075BSW5J705,"BRIDA 0,75"" BSW #1500 RTJ SCH160 A105",,,
AC0075BWN3R705,"BRIDA 0,75"" BWN #600 RF SCH160 A105",,,
AC0075BWN4J505,"BRIDA 0,75"" BWN #1500 RTJ SCH80 A105",,,
AC0100-23C40220,"CAÑO CC 1"" SCH 40 CONDUIT + CUPLA 6,4M",,,
AC0100-23S40106,"CAÑO S/C 1"" SCH 40 ASTM A106 GR B",,,
AC0100-23S70106,"CAÑO S/C 1"" SCH 160 ASTM A106 GR B",,,
AC0100-400PVC,"CAÑO 1"" SCH40 PVC P/USO ELECTRICO",,,
AC0100-4I445527,"CODO LR 45° 1"" SCH 40 WPB A234",,,
AC0100-4I490527,"CODO LR 90° 1"" SCH 40 WPB A234",,,
AC0100-4I790527,"CODO LR 90° 1"" SCH 160 WPB A234",,,
AC0100-4I845527,"CODO LR 45° 1"" SCH 80 WPB A234",,,
AC0100-4I890527,"CODO LR 90° 1"" SCH 80 WPB A234",,,
AC0100-4K240527,"TEE TOT 1"" SCH 40 WPB A234",,,
AC0100-4K280527,"TEE TOT 1"" SCH 80 WPB A234",,,
AC0100-94040527,"CASQUETE 1"" SCH 40 WPB A234",,,
AC0100-94080527,"CASQUETE 1"" SCH 80 WPB A234",,,
AC0100BCI2R305,"BRIDA 1"" BCI #300 RF A105",,,
AC0100BCI3R305,"BRIDA 1"" BCI #600 RF A105",,,
AC0100BCI4J305,"BRIDA 1"" BCI #900/1500 RTJ A105",,,
AC0100BCI4R305,"BRIDA 1"" BCI #900/1500 RF A105",,,
AC0100BRO1R305,"BRIDA ROSCADA 1"" BRO #150 RF A105",,,
AC0100BRO1R322,"BRIDA ROSCADA 1"" BRO #150 RF GALV",,,
AC0100BRO2R322,"BRIDA ROSCADA 1"" BRO #300 RF GALV",,,
AC0100BSO1R305,"BRIDA 1"" BSO #150 RF A105",,,
AC0100BSO3R305,"BRIDA 1"" BSO #600 RF A105",,,
AC0100BSO4R305,"BRIDA 1"" BSO #900 RF A105",,,
AC0100BSW1R305,"BRIDA 1"" BSW #150 RF SCH40 A105",,,
AC0100BSW1R336,"BRIDA 1"" BSW #150 RF SCH40 316",,,
AC0100BSW1R505,"BRIDA 1"" BSW #150 RF SCH80 A105",,,
AC0100BSW1R536,"BRIDA 1"" BSW #150 RF SCH80 316",,,
AC0100BSW1R705,"BRIDA 1"" BSW #150 RF SCH160 A105",,,
AC0100BSW2R304,"BRIDA 1"" BSW #300 RF SCH160 304",,,
AC0100BSW2R305,"BRIDA 1"" BSW #300 RF SCH40 A105",,,
AC0100BSW2R505,"BRIDA 1"" BSW #300 RF SCH80 A105",,,
AC0100BSW2R536,"BRIDA 1"" BSW #300 RF SCH40 316",,,
AC0100BSW2R636,"BRIDA 1"" BSW #300 RF SCH80 316",,,
AC0100BSW2R705,"BRIDA 1"" BSW #300 RF SCH160 A105",,,
AC0100BSW3R505,"BRIDA 1"" BSW #600 RF SCH80 A105",,,
AC0100BSW3R705,"BRIDA 1"" BSW #600 RF SCH160 A105",,,
AC0100BSW5J505,"BRIDA 1"" BSW #900/1500 RTJ SCH80 A105",,,
AC0100BSW5J705,"BRIDA 1"" BSW #900/1500 RTJ SCH160 A105",,,
AC0100BSW5R505,"BRIDA 1"" BSW #900/1500 RF SCH80 A105",,,
AC0100BSW5R705,"BRIDA 1"" BSW #900/1500 RF SCH160 A105",,,
AC0100BWN1R305,"BRIDA 1"" BWN #150 RF SCH40 A105",,,
AC0100BWN1R505,"BRIDA 1"" BWN #150 RF SCH80 A105",,,
AC0100BWN1R705,"BRIDA 1"" BWN #150 RF SCH160 A105",,,
AC0100BWN2R305,"BRIDA 1"" BWN #300 RF SCH40 A105",,,
AC0100BWN2R505,"BRIDA 1"" BWN #300 RF SCH80 A105",,,
AC0100BWN3R305,"BRIDA 1"" BWN #600 RF SCH40 A105",,,
AC0100BWN3R505,"BRIDA 1"" BWN #600 RF SCH80 A105",,,
AC0100BWN3R705,"BRIDA 1"" BWN #600 RF SCH160 A105",,,
AC0100BWN4J505,"BRIDA 1"" BWN #900/1500 RTJ SCH80 A105",,,
AC0100BWN4R505,"BRIDA 1"" BWN #900/1500 RF SCH80 A105",,,
AC0105-4K380527,"TEE RED 1"" X 1/2"" SCH 80 WPB A234",,,
AC0105-4RC40527,"RED CONC 1"" X 1/2"" SCH 40 WPB A234",,,
AC0105-4RC70527,"RED CONC 1"" X 1/2"" SCH 160 WPB A234",,,
AC0105-4RC80527,"RED CONC 1"" X 1/2"" SCH 80 WPB A234",,,
AC0105-4RE40527,"RED EXC 1"" X 1/2"" SCH 40 WPB A234",,,
AC0125-23S40106,"CAÑO S/C 1 1/4"" SCH 40 ASTM A106 GR B",,,
AC0125-4I490527,"CODO LR 90° 1 1/4"" SCH 40 WPB A234",,,
AC0125-94040527,"CASQUETE 1 1/4"" SCH 40 WPB A234",,,
AC0125BSW1R505,"BRIDA 1,25"" BSW #150 RF SCH80 A105",,,
